smiles,cluster_index
ON=C(/CC1=CC=CC=C1)C1=CC=C2CCC3=C2C1=CC=C3,1
O=C(CC1=CC=CC=C1)C1=CC=C2CCC3=C2C1=CC=C3,1
BrC(C(=O)C1=CC=C2CCC3=C2C1=CC=C3)C1=CC=CC=C1,1
OC(C(=O)C1=CC=C2CCC3=C2C1=CC=C3)C1=CC=CC=C1,1
O=C(OC(C(=O)C1=CC=C2CCC3=C2C1=CC=C3)C1=CC=CC=C1)C1=CC=CC=C1,1
CC1CSC(=S)N1,1
CC1=NCCS1,1
CN(C)C1=NC(=S)SS1,1
CCCC1=C(C)C(=S)SS1,1
C1CSC2=C(SC(S2)=C2SC3=C(S2)SCCS3)S1,1
S=C1SCCS1,1
O=C1OC(=O)C2=C1SCCS2,1
O=C1NCCS1,1
N=C1NCCS1,1
S=C1NCCS1,1
[O-][N+](=O)C=C1NCCS1,1
